date,open,high,low,close,volume,amount,code,frequency
2000-01-04,1368.6900,1407.5200,1361.2100,1406.3700,903282400,5183898112.0000,sh.000001,d
2000-01-05,1407.8300,1433.7800,1398.3200,1409.6800,1057939200,8137326080.0000,sh.000001,d
2000-01-06,1406.0400,1463.9600,1400.2500,1463.9400,1348051700,9520842752.0000,sh.000001,d
2000-01-07,1477.1500,1522.8300,1477.1500,1516.6000,3486939600,19487195136.0000,sh.000001,d
2000-01-10,1531.7100,1546.7200,1506.4000,1545.1100,3125304400,18779111424.0000,sh.000001,d
2000-01-11,1547.6800,1547.7100,1468.7600,1479.7800,2192456800,15771749376.0000,sh.000001,d
2000-01-12,1473.7600,1489.2800,1435.0000,1438.0200,1522193400,12656691200.0000,sh.000001,d
2000-01-13,1437.4500,1444.0700,1418.8100,1424.4400,861194300,7468732928.0000,sh.000001,d
2000-01-14,1426.2200,1433.4700,1401.7100,1408.8500,744701300,6256399360.0000,sh.000001,d
2000-01-17,1408.9900,1433.3800,1402.6600,1433.3300,764797600,6290277888.0000,sh.000001,d
2000-01-18,1436.8900,1443.5900,1421.6400,1426.6200,776713000,7072431104.0000,sh.000001,d
2000-01-19,1425.8700,1443.6700,1425.1400,1440.7200,800479200,6493590016.0000,sh.000001,d
2000-01-20,1443.0900,1466.9000,1443.0900,1466.8600,1007080300,8875429888.0000,sh.000001,d
2000-01-21,1471.9100,1476.4600,1458.9300,1465.0900,1505077200,13743475712.0000,sh.000001,d
2000-01-24,1465.8600,1477.4100,1449.4700,1477.3400,1624150700,14606044160.0000,sh.000001,d
2000-01-25,1483.0300,1490.4600,1467.4400,1476.5100,1363598300,12996698112.0000,sh.000001,d
2000-01-26,1477.3000,1482.4600,1469.9800,1481.1200,1038443700,9577442304.0000,sh.000001,d
2000-01-27,1490.4500,1506.9200,1485.2300,1506.7700,1897997400,15992564736.0000,sh.000001,d
2000-01-28,1514.5600,1536.3500,1510.7500,1535.0000,2938816200,20709478400.0000,sh.000001,d
2000-02-14,1591.4500,1674.1300,1587.8200,1673.9400,4356913200,23157620736.0000,sh.000001,d
2000-02-15,1709.2200,1746.4400,1663.0100,1670.6700,5254342400,34925486080.0000,sh.000001,d
2000-02-16,1674.9400,1695.8800,1649.7000,1693.1100,3743554800,34009001984.0000,sh.000001,d
2000-02-17,1734.2700,1770.8800,1615.6300,1640.6500,5143906800,47262171136.0000,sh.000001,d
2000-02-18,1623.9600,1668.1600,1583.5800,1668.0900,2678535400,25842489344.0000,sh.000001,d
2000-02-21,1681.3600,1697.0100,1652.4800,1677.1400,3101120400,32615790592.0000,sh.000001,d
2000-02-22,1681.3000,1687.5100,1627.4700,1632.2900,2425177600,26178822144.0000,sh.000001,d
2000-02-23,1618.0100,1630.5500,1586.6300,1594.9300,1918572800,18577262592.0000,sh.000001,d
2000-02-24,1593.9500,1634.3200,1593.9300,1634.3100,1393287500,14762156032.0000,sh.000001,d
2000-02-25,1639.9200,1650.3700,1618.1800,1631.5800,1705805400,18504671232.0000,sh.000001,d
2000-02-28,1639.8000,1704.8800,1639.7000,1704.8600,2612794600,24422227968.0000,sh.000001,d
2000-02-29,1728.1400,1733.1400,1678.3500,1714.5800,2867874800,32196007936.0000,sh.000001,d
2000-03-01,1720.6000,1721.1400,1692.5100,1697.7400,2248767400,23873890304.0000,sh.000001,d
2000-03-02,1697.5600,1721.6000,1682.5400,1713.0100,1959349600,20352632832.0000,sh.000001,d
2000-03-03,1728.3600,1750.6500,1721.7100,1738.0200,2481549800,25767591936.0000,sh.000001,d
2000-03-06,1756.3100,1762.8300,1678.7400,1681.0900,2650470800,26614910976.0000,sh.000001,d
2000-03-07,1661.9500,1694.8900,1654.4400,1694.8000,1768501600,16439373824.0000,sh.000001,d
2000-03-08,1699.4600,1726.0400,1690.1200,1726.0300,1974594400,17218283520.0000,sh.000001,d
2000-03-09,1734.7700,1741.2200,1714.9200,1732.3500,1787738000,18604742656.0000,sh.000001,d
2000-03-10,1731.9400,1743.1400,1701.7900,1705.0500,1587236400,16393991168.0000,sh.000001,d
2000-03-13,1706.7700,1729.0100,1706.3500,1728.8800,1982662600,12882606080.0000,sh.000001,d
2000-03-14,1690.6500,1700.3700,1636.8900,1685.3500,2287044400,18661144576.0000,sh.000001,d
2000-03-15,1680.3000,1695.1600,1676.5400,1681.4700,1678216400,15695372288.0000,sh.000001,d
2000-03-16,1671.1000,1671.1800,1596.0700,1607.5300,1979159000,13637411840.0000,sh.000001,d
2000-03-17,1602.3600,1661.9800,1602.3400,1658.6000,1533672400,13891457024.0000,sh.000001,d
2000-03-20,1646.3100,1699.2800,1641.7700,1699.2500,1817380000,17219844096.0000,sh.000001,d
2000-03-21,1704.0900,1713.2100,1692.6800,1710.3200,1635110200,17635837952.0000,sh.000001,d
2000-03-22,1713.2400,1726.5900,1711.1600,1720.4500,1465842100,16886303744.0000,sh.000001,d
2000-03-23,1724.1900,1747.2800,1711.4100,1747.2400,1674314100,17434437632.0000,sh.000001,d
2000-03-24,1761.4400,1770.2600,1729.4800,1730.5000,2203672000,22607366144.0000,sh.000001,d
2000-03-27,1736.7000,1776.0200,1736.7000,1775.9100,1992731200,20103073792.0000,sh.000001,d
2000-03-28,1788.8300,1799.9500,1774.4800,1791.4400,2448436800,22388465664.0000,sh.000001,d
2000-03-29,1797.8800,1803.8300,1763.6200,1788.8100,2302668200,19240343552.0000,sh.000001,d
2000-03-30,1793.6800,1811.0600,1790.8500,1810.9800,2930543200,18011625472.0000,sh.000001,d
2000-03-31,1810.5500,1810.9000,1780.4100,1800.2300,2334036400,18552252416.0000,sh.000001,d
2000-04-03,1799.5800,1816.8600,1798.2500,1801.0000,1886111200,17921349632.0000,sh.000001,d
2000-04-04,1795.1600,1795.1600,1755.9800,1760.6900,1712827200,14832918528.0000,sh.000001,d
2000-04-05,1756.3000,1776.7200,1746.3000,1771.2000,1360323900,12164237312.0000,sh.000001,d
2000-04-06,1775.7800,1809.1700,1775.6800,1809.1400,1500703300,14467557376.0000,sh.000001,d
2000-04-07,1816.7900,1822.6200,1807.5400,1819.9000,1608126300,15683968000.0000,sh.000001,d
2000-04-10,1826.6100,1831.8500,1815.9900,1826.0600,1680915200,16191766528.0000,sh.000001,d
2000-04-11,1826.4000,1828.0600,1812.0100,1821.1700,1424547700,14330834944.0000,sh.000001,d
2000-04-12,1822.4000,1823.8300,1785.3300,1807.3300,1364303300,12673772544.0000,sh.000001,d
2000-04-13,1807.8400,1832.0800,1807.7100,1831.5500,1654905800,14957162496.0000,sh.000001,d
2000-04-14,1835.8600,1840.1900,1820.6700,1833.6700,1790547200,16789066752.0000,sh.000001,d
2000-04-17,1829.6200,1829.9300,1778.8800,1795.0600,1982174000,18006790144.0000,sh.000001,d
2000-04-18,1794.3400,1813.5700,1779.2900,1813.5000,1320473400,12563870720.0000,sh.000001,d
2000-04-19,1819.0800,1831.5700,1817.2100,1828.7100,1276616000,13317001216.0000,sh.000001,d
2000-04-20,1831.6600,1847.5100,1831.4900,1847.0300,1653310800,16462800896.0000,sh.000001,d
2000-04-21,1851.3100,1858.2700,1834.8500,1841.0600,1624462900,17091940352.0000,sh.000001,d
2000-04-24,1844.7000,1848.9700,1827.1700,1837.4000,1642779100,15628040192.0000,sh.000001,d
2000-04-25,1838.0500,1841.8600,1815.6300,1833.4700,1077140400,11112366080.0000,sh.000001,d
2000-04-26,1835.6700,1842.8900,1826.3900,1832.7800,1016383800,10596524032.0000,sh.000001,d
2000-04-27,1835.6000,1840.5700,1803.5800,1806.8300,1233293400,12226652160.0000,sh.000001,d
2000-04-28,1805.5000,1836.3300,1797.7100,1836.3200,1097131200,11368102912.0000,sh.000001,d
